Day,Time,Arena,Sex,Treatment,Soc_index,ExperimentalBlock,Strain_ID
1,1,1,Male,Control,0.571428571,A,50893
1,4,1,Male,Control,1.428571429,A,50893
1,5,1,Male,Control,1.142857143,A,50893
1,2,1,Male,Control,1.714285714,A,50893
1,3,1,Male,Control,1.142857143,A,50893
1,1,2,Female,Control,4.285714286,A,50893
1,4,2,Female,Control,8,A,50893
1,5,2,Female,Control,3.428571429,A,50893
1,2,2,Female,Control,3.714285714,A,50893
1,3,2,Female,Control,4.571428571,A,50893
1,3,3,Male,RNAi,1.142857143,A,50893
1,4,3,Male,RNAi,1.142857143,A,50893
1,5,3,Male,RNAi,0.571428571,A,50893
1,2,3,Male,RNAi,0.571428571,A,50893
1,1,3,Male,RNAi,1.142857143,A,50893
1,2,4,Female,RNAi,6,A,50893
1,1,4,Female,RNAi,8,A,50893
1,3,4,Female,RNAi,4.285714286,A,50893
1,4,4,Female,RNAi,6,A,50893
1,5,4,Female,RNAi,8,A,50893
1,5,5,Female,RNAi,2.285714286,A,50893
1,1,5,Female,RNAi,2,A,50893
1,3,5,Female,RNAi,2,A,50893
1,4,5,Female,RNAi,3.142857143,A,50893
1,2,5,Female,RNAi,0.571428571,A,50893
1,5,6,Female,Control,3.428571429,A,50893
1,1,6,Female,Control,8,A,50893
1,3,6,Female,Control,4.571428571,A,50893
1,4,6,Female,Control,8,A,50893
1,2,6,Female,Control,2.571428571,A,50893
1,2,7,Male,Control,2.571428571,A,50893
1,4,7,Male,Control,1.714285714,A,50893
1,1,7,Male,Control,2.285714286,A,50893
1,3,7,Male,Control,2,A,50893
1,5,7,Male,Control,0.857142857,A,50893
1,3,8,Male,RNAi,0.857142857,A,50893
1,2,8,Male,RNAi,1.142857143,A,50893
1,1,8,Male,RNAi,1.142857143,A,50893
1,4,8,Male,RNAi,0.857142857,A,50893
1,5,8,Male,RNAi,0.571428571,A,50893
1,1,9,Female,Control,7,A,50893
1,3,9,Female,Control,3.408163265,A,50893
1,5,9,Female,Control,2.102040816,A,50893
1,2,9,Female,Control,3.408163265,A,50893
1,4,9,Female,Control,5.040816327,A,50893
1,1,10,Male,Control,0.857142857,A,50893
1,3,10,Male,Control,2.857142857,A,50893
1,4,10,Male,Control,0.857142857,A,50893
1,5,10,Male,Control,1.714285714,A,50893
1,2,10,Male,Control,2.571428571,A,50893
1,4,11,Male,RNAi,1.428571429,A,50893
1,2,11,Male,RNAi,1.142857143,A,50893
1,1,11,Male,RNAi,2,A,50893
1,3,11,Male,RNAi,1.142857143,A,50893
1,5,11,Male,RNAi,1.142857143,A,50893
1,2,12,Female,RNAi,2.102040816,A,50893
1,5,12,Female,RNAi,2.102040816,A,50893
