geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0048731	system development	http://amigo.geneontology.org/amigo/term/GO:0048731	1507	49	18.14386149925301	2.7006378990501747	1.4877749493919703e-11	6.166827165229717e-8	31912;32849;33281;33432;34673;35085;35154;35975;37038;37254;37890;38149;38338;38470;38605;38736;39013;39039;39385;40913;41094;41709;41783;41876;42066;42162;42380;42743;42757;42990;43033;43087;43256;43417;43420;43434;43442;43469;43604;43656;43789;43892;44018;44275;44531;44849;45307;48973;246493	FLYBASE:FBgn0000233;FLYBASE:FBgn0000490;FLYBASE:FBgn0001085;FLYBASE:FBgn0003117;FLYBASE:FBgn0003118;FLYBASE:FBgn0003165;FLYBASE:FBgn0003310;FLYBASE:FBgn0003435;FLYBASE:FBgn0003495;FLYBASE:FBgn0003499;FLYBASE:FBgn0003720;FLYBASE:FBgn0004101;FLYBASE:FBgn0004360;FLYBASE:FBgn0004369;FLYBASE:FBgn0004394;FLYBASE:FBgn0004878;FLYBASE:FBgn0010113;FLYBASE:FBgn0011666;FLYBASE:FBgn0014141;FLYBASE:FBgn0015772;FLYBASE:FBgn0020251;FLYBASE:FBgn0028671;FLYBASE:FBgn0028789;FLYBASE:FBgn0029123;FLYBASE:FBgn0030941;FLYBASE:FBgn0035205;FLYBASE:FBgn0035482;FLYBASE:FBgn0036257;FLYBASE:FBgn0038197;FLYBASE:FBgn0038331;FLYBASE:FBgn0038755;FLYBASE:FBgn0039257;FLYBASE:FBgn0039294;FLYBASE:FBgn0039617;FLYBASE:FBgn0039620;FLYBASE:FBgn0039632;FLYBASE:FBgn0041184;FLYBASE:FBgn0051146;FLYBASE:FBgn0052296;FLYBASE:FBgn0052423;FLYBASE:FBgn0085447;FLYBASE:FBgn0259210;FLYBASE:FBgn0259211;FLYBASE:FBgn0262127;FLYBASE:FBgn0262636;FLYBASE:FBgn0262733;FLYBASE:FBgn0262975;FLYBASE:FBgn0263930;FLYBASE:FBgn0266098
GO:0009653	anatomical structure morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0009653	1560	47	18.781966780912207	2.502400336889388	6.530104459576665e-10	1.3533641492472639e-6	31912;32729;32849;32905;33281;33283;33432;34222;35085;35154;35975;37038;37254;37890;38338;38433;38736;39013;39039;39385;41094;41709;41783;41788;41876;42066;42162;42380;42743;42757;42990;43087;43256;43417;43420;43434;43442;43469;43604;43656;43892;44275;44531;44849;45307;48973;246493	FLYBASE:FBgn0000233;FLYBASE:FBgn0000490;FLYBASE:FBgn0001085;FLYBASE:FBgn0003117;FLYBASE:FBgn0003118;FLYBASE:FBgn0003165;FLYBASE:FBgn0003310;FLYBASE:FBgn0003435;FLYBASE:FBgn0003495;FLYBASE:FBgn0003499;FLYBASE:FBgn0003720;FLYBASE:FBgn0004101;FLYBASE:FBgn0004360;FLYBASE:FBgn0004369;FLYBASE:FBgn0005640;FLYBASE:FBgn0010113;FLYBASE:FBgn0011666;FLYBASE:FBgn0011705;FLYBASE:FBgn0014141;FLYBASE:FBgn0015772;FLYBASE:FBgn0020251;FLYBASE:FBgn0028671;FLYBASE:FBgn0028789;FLYBASE:FBgn0029123;FLYBASE:FBgn0030941;FLYBASE:FBgn0030993;FLYBASE:FBgn0031298;FLYBASE:FBgn0036257;FLYBASE:FBgn0038197;FLYBASE:FBgn0038331;FLYBASE:FBgn0038755;FLYBASE:FBgn0039257;FLYBASE:FBgn0039617;FLYBASE:FBgn0039620;FLYBASE:FBgn0039632;FLYBASE:FBgn0041184;FLYBASE:FBgn0052296;FLYBASE:FBgn0085447;FLYBASE:FBgn0259210;FLYBASE:FBgn0259211;FLYBASE:FBgn0262127;FLYBASE:FBgn0262733;FLYBASE:FBgn0262975;FLYBASE:FBgn0263706;FLYBASE:FBgn0263929;FLYBASE:FBgn0263930;FLYBASE:FBgn0266098
GO:0048699	generation of neurons	http://amigo.geneontology.org/amigo/term/GO:0048699	879	33	10.5829158977063	3.118233227871752	2.574937563055371e-9	3.5577053996215045e-6	31912;32849;33281;33432;34673;35085;35154;35975;37038;37254;38149;38605;39013;41094;41709;41783;42066;42743;42757;43087;43256;43417;43469;43604;43656;43789;43892;44018;44275;44531;45307;48973;246493	FLYBASE:FBgn0000233;FLYBASE:FBgn0000490;FLYBASE:FBgn0001085;FLYBASE:FBgn0003118;FLYBASE:FBgn0003165;FLYBASE:FBgn0003310;FLYBASE:FBgn0003435;FLYBASE:FBgn0003495;FLYBASE:FBgn0003720;FLYBASE:FBgn0004360;FLYBASE:FBgn0004369;FLYBASE:FBgn0004394;FLYBASE:FBgn0004878;FLYBASE:FBgn0010113;FLYBASE:FBgn0011666;FLYBASE:FBgn0014141;FLYBASE:FBgn0015772;FLYBASE:FBgn0029123;FLYBASE:FBgn0030941;FLYBASE:FBgn0035205;FLYBASE:FBgn0038197;FLYBASE:FBgn0039617;FLYBASE:FBgn0041184;FLYBASE:FBgn0052423;FLYBASE:FBgn0085447;FLYBASE:FBgn0259210;FLYBASE:FBgn0259211;FLYBASE:FBgn0262127;FLYBASE:FBgn0262636;FLYBASE:FBgn0262733;FLYBASE:FBgn0262975;FLYBASE:FBgn0263930;FLYBASE:FBgn0266098
GO:0007399	nervous system development	http://amigo.geneontology.org/amigo/term/GO:0007399	1166	38	14.038316196502329	2.706877339710283	6.217427573971556e-9	6.442809323528025e-6	31912;32849;33281;33432;34673;35085;35154;35975;37038;37254;38149;38470;38605;39013;39385;40913;41094;41709;41783;42066;42162;42743;42757;43087;43256;43417;43434;43469;43604;43656;43789;43892;44018;44275;44531;45307;48973;246493	FLYBASE:FBgn0000233;FLYBASE:FBgn0000490;FLYBASE:FBgn0001085;FLYBASE:FBgn0003118;FLYBASE:FBgn0003165;FLYBASE:FBgn0003310;FLYBASE:FBgn0003435;FLYBASE:FBgn0003495;FLYBASE:FBgn0003499;FLYBASE:FBgn0003720;FLYBASE:FBgn0004360;FLYBASE:FBgn0004369;FLYBASE:FBgn0004394;FLYBASE:FBgn0004878;FLYBASE:FBgn0010113;FLYBASE:FBgn0011666;FLYBASE:FBgn0014141;FLYBASE:FBgn0015772;FLYBASE:FBgn0029123;FLYBASE:FBgn0030941;FLYBASE:FBgn0035205;FLYBASE:FBgn0035482;FLYBASE:FBgn0036257;FLYBASE:FBgn0038197;FLYBASE:FBgn0039617;FLYBASE:FBgn0039632;FLYBASE:FBgn0041184;FLYBASE:FBgn0051146;FLYBASE:FBgn0052423;FLYBASE:FBgn0085447;FLYBASE:FBgn0259210;FLYBASE:FBgn0259211;FLYBASE:FBgn0262127;FLYBASE:FBgn0262636;FLYBASE:FBgn0262733;FLYBASE:FBgn0262975;FLYBASE:FBgn0263930;FLYBASE:FBgn0266098
GO:0060541	respiratory system development	http://amigo.geneontology.org/amigo/term/GO:0060541	258	17	3.106248352227788	5.472839925309795	1.2109169506740302e-8	1.003850152108771e-5	33432;35975;37038;37890;38338;38736;39013;41876;42162;42380;42757;43033;43420;43442;43604;45307;48973	FLYBASE:FBgn0000490;FLYBASE:FBgn0001085;FLYBASE:FBgn0003118;FLYBASE:FBgn0003499;FLYBASE:FBgn0004101;FLYBASE:FBgn0004360;FLYBASE:FBgn0010113;FLYBASE:FBgn0020251;FLYBASE:FBgn0028671;FLYBASE:FBgn0038331;FLYBASE:FBgn0038755;FLYBASE:FBgn0039294;FLYBASE:FBgn0039620;FLYBASE:FBgn0052296;FLYBASE:FBgn0259211;FLYBASE:FBgn0262733;FLYBASE:FBgn0263930
GO:0022008	neurogenesis	http://amigo.geneontology.org/amigo/term/GO:0022008	947	33	11.401617013797345	2.8943263012663887	1.6417471769222613e-8	1.1341736747237957e-5	31912;32849;33281;33432;34673;35085;35154;35975;37038;37254;38149;38605;39013;41094;41709;41783;42066;42743;42757;43087;43256;43417;43469;43604;43656;43789;43892;44018;44275;44531;45307;48973;246493	FLYBASE:FBgn0000233;FLYBASE:FBgn0000490;FLYBASE:FBgn0001085;FLYBASE:FBgn0003118;FLYBASE:FBgn0003165;FLYBASE:FBgn0003310;FLYBASE:FBgn0003435;FLYBASE:FBgn0003495;FLYBASE:FBgn0003720;FLYBASE:FBgn0004360;FLYBASE:FBgn0004369;FLYBASE:FBgn0004394;FLYBASE:FBgn0004878;FLYBASE:FBgn0010113;FLYBASE:FBgn0011666;FLYBASE:FBgn0014141;FLYBASE:FBgn0015772;FLYBASE:FBgn0029123;FLYBASE:FBgn0030941;FLYBASE:FBgn0035205;FLYBASE:FBgn0038197;FLYBASE:FBgn0039617;FLYBASE:FBgn0041184;FLYBASE:FBgn0052423;FLYBASE:FBgn0085447;FLYBASE:FBgn0259210;FLYBASE:FBgn0259211;FLYBASE:FBgn0262127;FLYBASE:FBgn0262636;FLYBASE:FBgn0262733;FLYBASE:FBgn0262975;FLYBASE:FBgn0263930;FLYBASE:FBgn0266098
GO:0030182	neuron differentiation	http://amigo.geneontology.org/amigo/term/GO:0030182	808	30	9.728095614728886	3.083851268338513	2.07733060218524e-8	1.2300764780082598e-5	31912;32849;33281;33432;35085;35154;35975;37038;37254;38605;39013;41094;41709;41783;42066;42743;42757;43087;43256;43417;43469;43604;43789;43892;44018;44275;44531;45307;48973;246493	FLYBASE:FBgn0000233;FLYBASE:FBgn0000490;FLYBASE:FBgn0001085;FLYBASE:FBgn0003118;FLYBASE:FBgn0003165;FLYBASE:FBgn0003310;FLYBASE:FBgn0003435;FLYBASE:FBgn0003495;FLYBASE:FBgn0004360;FLYBASE:FBgn0004369;FLYBASE:FBgn0004878;FLYBASE:FBgn0010113;FLYBASE:FBgn0011666;FLYBASE:FBgn0014141;FLYBASE:FBgn0015772;FLYBASE:FBgn0029123;FLYBASE:FBgn0030941;FLYBASE:FBgn0038197;FLYBASE:FBgn0039617;FLYBASE:FBgn0041184;FLYBASE:FBgn0052423;FLYBASE:FBgn0085447;FLYBASE:FBgn0259210;FLYBASE:FBgn0259211;FLYBASE:FBgn0262127;FLYBASE:FBgn0262636;FLYBASE:FBgn0262733;FLYBASE:FBgn0262975;FLYBASE:FBgn0263930;FLYBASE:FBgn0266098
GO:0048513	animal organ development	http://amigo.geneontology.org/amigo/term/GO:0048513	1199	37	14.435627032252395	2.5631030725117645	4.484836928752448e-8	2.1995122072127535e-5	31912;32729;32905;33281;33432;35085;35975;37038;37890;38149;38338;38736;39013;39039;39385;41709;41783;41876;42066;42162;42380;42757;42770;42990;43087;43434;43442;43604;43656;43789;43892;44018;44531;44849;45307;48973;246493	FLYBASE:FBgn0000233;FLYBASE:FBgn0000490;FLYBASE:FBgn0001085;FLYBASE:FBgn0003117;FLYBASE:FBgn0003118;FLYBASE:FBgn0003310;FLYBASE:FBgn0003499;FLYBASE:FBgn0003720;FLYBASE:FBgn0004101;FLYBASE:FBgn0004360;FLYBASE:FBgn0004878;FLYBASE:FBgn0010113;FLYBASE:FBgn0011666;FLYBASE:FBgn0014141;FLYBASE:FBgn0020251;FLYBASE:FBgn0028671;FLYBASE:FBgn0028789;FLYBASE:FBgn0030993;FLYBASE:FBgn0035205;FLYBASE:FBgn0036257;FLYBASE:FBgn0038197;FLYBASE:FBgn0038331;FLYBASE:FBgn0038755;FLYBASE:FBgn0039081;FLYBASE:FBgn0039257;FLYBASE:FBgn0039632;FLYBASE:FBgn0041184;FLYBASE:FBgn0052296;FLYBASE:FBgn0085447;FLYBASE:FBgn0259210;FLYBASE:FBgn0259211;FLYBASE:FBgn0262127;FLYBASE:FBgn0262636;FLYBASE:FBgn0262733;FLYBASE:FBgn0263706;FLYBASE:FBgn0263930;FLYBASE:FBgn0266098
GO:0007424	open tracheal system development	http://amigo.geneontology.org/amigo/term/GO:0007424	249	16	2.997890851568679	5.337085568551578	4.7757804257936746e-8	2.1995122072127535e-5	33432;35975;37038;37890;38338;38736;39013;42162;42380;42757;43033;43420;43442;43604;45307;48973	FLYBASE:FBgn0000490;FLYBASE:FBgn0001085;FLYBASE:FBgn0003118;FLYBASE:FBgn0003499;FLYBASE:FBgn0004101;FLYBASE:FBgn0004360;FLYBASE:FBgn0010113;FLYBASE:FBgn0020251;FLYBASE:FBgn0028671;FLYBASE:FBgn0038755;FLYBASE:FBgn0039294;FLYBASE:FBgn0039620;FLYBASE:FBgn0052296;FLYBASE:FBgn0259211;FLYBASE:FBgn0262733;FLYBASE:FBgn0263930
GO:0009887	animal organ morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0009887	765	28	9.210387556024255	3.0400457993416343	9.167701027384483e-8	3.8000120758508684e-5	31912;32729;32905;33281;33432;35085;37038;37890;38338;38736;39013;39039;39385;41709;41783;41876;42380;42757;42990;43087;43434;43604;43656;44531;44849;45307;48973;246493	FLYBASE:FBgn0000233;FLYBASE:FBgn0000490;FLYBASE:FBgn0001085;FLYBASE:FBgn0003117;FLYBASE:FBgn0003118;FLYBASE:FBgn0003310;FLYBASE:FBgn0003720;FLYBASE:FBgn0004101;FLYBASE:FBgn0010113;FLYBASE:FBgn0011666;FLYBASE:FBgn0020251;FLYBASE:FBgn0028789;FLYBASE:FBgn0030993;FLYBASE:FBgn0036257;FLYBASE:FBgn0038197;FLYBASE:FBgn0038331;FLYBASE:FBgn0038755;FLYBASE:FBgn0039257;FLYBASE:FBgn0039632;FLYBASE:FBgn0041184;FLYBASE:FBgn0052296;FLYBASE:FBgn0259210;FLYBASE:FBgn0259211;FLYBASE:FBgn0262127;FLYBASE:FBgn0262733;FLYBASE:FBgn0263706;FLYBASE:FBgn0263930;FLYBASE:FBgn0266098
