"","chr","pos","pval","padj"
"1","X",10000037,0.069751736743944,1
"2","X",10000047,0.00485434004193199,0.163387642098381
"3","X",10000213,0.00452375737686379,0.153788304910374
"4","X",10000229,0.334576891071052,1
"5","X",10000438,0.000157743314705518,0.00833178476543999
"6","X",10000543,0.689230350169008,1
"7","X",10000582,0.00139406242775989,0.0556687434035066
"8","X",10000615,0.20940163137746,1
"9","X",10001074,0.425572459244402,1
"10","X",10001179,0.0017585424968004,0.0680931287898257
"11","X",10001287,0.169026726177141,1
"12","X",10001393,0.887083138243246,1
"13","X",10001397,0.329456640404582,1
"14","X",10001457,0.00112697377738383,0.046334037886265
"15","X",1000153,0.901314223099279,1
"16","X",10001544,0.674127650549989,1
"17","X",10001617,2.43629654835182e-21,3.39377705524625e-18
"18","X",10001618,0.161399680435665,1
"19","X",10001660,0.000243715168826833,0.0121925766961147
"20","X",10001674,0.000596869564879737,0.0266256400707457
"21","X",10001676,2.60196174839013e-05,0.00170239663767257
"22","X",10001682,0.811092299289061,1
"23","X",10001875,0.000841574968668335,0.0359331630842191
"24","X",10001981,8.08457114460434e-19,7.57263038806544e-16
"25","X",10002054,0.0004136289376003,0.0193501984511347
"26","X",10002127,1.25348950124353e-27,4.89189782582219e-24
"27","X",1000215,0.0539943220514055,1
"28","X",10002301,0.284101981234635,1
"29","X",10002394,0.211915235754989,1
"30","X",10002470,0.364532419626897,1
"31","X",10002745,0.0650569223243021,1
"32","X",10003032,0.00213682791805846,0.0805965499758075
"33","X",10003145,0.163616068840014,1
"34","X",10003173,3.78278636018091e-05,0.00236577708060875
"35","X",10003305,0.00903822790181392,0.27783793645569
"36","X",10003358,0.193684449890514,1
"37","X",10003451,0.085492612150341,1
"38","X",10004046,0.0155903671171214,0.441456124095683
"39","X",10004197,0.0611342417758241,1
"40","X",10004225,0.258407705103965,1
"41","X",10004249,0.00221744964834102,0.0832149575976833
"42","X",10004333,0.000440220426022458,0.0204363582657944
"43","X",10004457,0.000657194192947722,0.0289658415996894
"44","X",10004768,1.05004745294678e-09,1.94075938952427e-07
"45","X",10004813,0.000425553511636773,0.019838115973194
"46","X",10004849,0.26981898039291,1
"47","X",10004869,6.31055503883085e-05,0.00371643298778455
"48","X",10004948,2.58533738521798e-05,0.00169311275262555
"49","X",10005292,0.00154873991721708,0.061017115894182
"50","X",10005327,0.00156340763973307,0.0615141382275259
"51","X",10005347,0.0187768090094959,0.516264214815928
"52","X",10005611,0.150791159848002,1
"53","X",10005629,0.000148859715975837,0.00791559406438272
"54","X",10005635,0.000174576921767563,0.0091093772335612
"55","X",10005636,0.000101268952485557,0.00563776339187767
"56","X",10005860,0.000182060733030878,0.00944983306401757
"57","X",10005903,0.0013385082001593,0.0537354347186624
"58","X",10006022,0.000219540924706902,0.0111250120785954
"59","X",10006064,0.28173504813173,1
"60","X",10006112,0.00205908982599142,0.0780360649859493
"61","X",10006176,0.0902525604643603,1
"62","X",10006282,0.368559250201412,1
"63","X",10006311,0.0011041927030074,0.0455023654810617
"64","X",10006394,6.43465136844326e-05,0.00378055133565153
"65","X",10006412,1.03346629444647e-19,1.10291737204815e-16
"66","X",10006429,0.984477654412989,1
"67","X",10006564,0.0811326653255207,1
"68","X",10006709,0.168723012004904,1
"69","X",10006811,0.000177161334295939,0.00922623121939342
"70","X",10006932,0.000169798032037945,0.00889057012144452
"71","X",10006947,0.620816699480816,1
"72","X",10006975,0.000127887701432882,0.00693002963528336
"73","X",10007004,0.00160052786968796,0.0627821426332952
"74","X",10007084,0.00233807620171658,0.0871046935192533
"75","X",10007393,0.000202201856928941,0.0103569326661937
"76","X",10007429,0.0318877224999639,0.80578976355746
"77","X",1000746,0.00122582790406055,0.0498058476274618
"78","X",10007488,0.000163560655224362,0.00860336903851829
"79","X",10007489,0.102933985189983,1
"80","X",1000749,0.193718886337414,1
"81","X",10007513,0.157336310790359,1
"82","X",10007548,0.00139495179667713,0.0557010597115042
"83","X",10007549,0.0212312607037178,0.572735759520384
"84","X",10007558,0.00113754053654715,0.0467033328216002
"85","X",10007575,0.0749668783066973,1
"86","X",10007577,0.685626989371836,1
"87","X",10007580,0.768583874107897,1
"88","X",10007780,9.10856916929331e-05,0.00513614572445317
"89","X",10007781,0.107855477611011,1
"90","X",10007808,0.000434317541271473,0.0201952246502505
"91","X",10007831,0.502814041590864,1
"92","X",10007898,0.000784460438255788,0.0337891193502548
"93","X",10007969,0.0131725534340203,0.382887485979774
"94","X",10008103,6.8087171485076e-11,1.60760088628898e-08
"95","X",10008110,0.00116629816414887,0.0477346181083064
"96","X",10008124,0.00362828196292131,0.127268214436802
"97","X",10008128,5.18569685112987e-18,4.22110783013646e-15
"98","X",10008135,0.000473298325719038,0.0217684821043807
"99","X",10008139,2.17912890409374e-05,0.00145546419136884
"100","X",10008167,0.000429994494001629,0.0200176359316492
"101","X",10008213,0.0390495910063303,0.954415604032387
"102","X",10008258,0.0570514189033071,1
"103","X",10008274,0.68708453511872,1
"104","X",10008297,0.00012071727513906,0.00658581636063557
"105","X",10008350,4.73811676945165e-05,0.00288605310832218
"106","X",10008516,0.0008148983611407,0.0349322679858384
"107","X",10008546,0.98254602790585,1
"108","X",10008550,0.000527699843309734,0.0239190565666276
"109","X",1000870,0.141271082032795,1
"110","X",1000892,0.000397736006339645,0.0186949921843278
"111","X",10009361,0.312039721343068,1
"112","X",10009372,0.0033351130582963,0.118357957416833
"113","X",10009384,0.237901095846286,1
"114","X",10009438,0.000138881496728506,0.00744856832601061
"115","X",10009456,0.494742309080553,1
"116","X",10009468,0.577949731535325,1
"117","X",1000947,0.000124440231000821,0.00676440690183321
"118","X",10009491,0.00184912707376622,0.0711041897352132
"119","X",10009540,0.000174857140528005,0.00912276679648705
"120","X",10009574,8.94548250888248e-22,1.32975395076215e-18
"121","X",10009580,0.00110006733722492,0.0453484885449005
"122","X",10009583,0.000195010236937821,0.0100319545245882
"123","X",10009857,0.327711106127956,1
"124","X",1000991,0.00312648933520829,0.111909133848059
"125","X",10009924,0.258195295097634,1
"126","X",10009928,0.192810977478869,1
"127","X",1000993,0.372628149524985,1
"128","X",10009977,0.350690561219953,1
"129","X",10009985,0.810673455525239,1
"130","X",10010004,0.00269722504965122,0.0985301682017098
"131","X",10010007,0.00245634352506321,0.090883229783
"132","X",10010030,0.000422417693810406,0.0197083157652305
"133","X",10010161,0.00143459884715084,0.0570718241936393
"134","X",10010251,0.000425745514633379,0.0198457362058692
"135","X",10010311,0.330064624521412,1
"136","X",10010337,0.00375287023161365,0.130993464294576
"137","X",10010411,0.000813137283824806,0.0348653729004792
"138","X",10010448,0.000213998097453279,0.0108818807305604
"139","X",10010453,0.980704145889998,1
"140","X",10010458,0.679694337840043,1
"141","X",10010475,0.000548998864524752,0.024758599479684
"142","X",10010479,0.00222341089498052,0.0834017602299277
"143","X",10010606,0.000676721491955209,0.0297063728894551
"144","X",10010877,0.106920794478493,1
"145","X",10010889,0.000329518300751774,0.0158600865949471
"146","X",10010932,0.00172523220583557,0.0669777479753886
"147","X",10010996,0.308216874005951,1
"148","X",10010999,0.213451133732065,1
"149","X",1001100,0.044769986521028,1
"150","X",10011014,0.406777513974141,1
"151","X",10011038,0.475482210279684,1
"152","X",10011060,0.98307349782488,1
"153","X",10011062,0.480515685516245,1
"154","X",10011146,0.000172527446196902,0.00901610223597073
"155","X",10011153,6.81748530538425e-05,0.003979053421917
"156","X",10011166,0.000396146272989002,0.0186295874411344
"157","X",10011191,0.00673013557593341,0.216283693778778
"158","X",10011239,0.63908838619005,1
"159","X",10011242,0.000589898990321491,0.0263566219583341
"160","X",10011321,0.0120283668091254,0.354621624885752
"161","X",10011338,0.0019430055660083,0.0742003825899377
"162","X",10011413,0.443468006372711,1
"163","X",10011518,0.000308444822010427,0.0149663742912922
"164","X",10011528,0.150062223958597,1
"165","X",10011536,0.00352320406425308,0.124080378519944
"166","X",10011603,0.0361859405242072,0.895778018732742
"167","X",10011650,0.000690848091806657,0.0302394487585316
"168","X",10011698,0.00196844506831724,0.0750556429311166
"169","X",10011732,0.00412169211457103,0.141968756232253
"170","X",10011774,8.13480627837697e-15,3.90002578645816e-12
"171","X",10011783,0.000174047011165924,0.00908513523557345
"172","X",10012028,0.179382164403439,1
"173","X",10012103,0.00701656248348043,0.224083523762552
"174","X",10012127,0.00280779498708384,0.102078116744205
"175","X",10012163,0.0518569882003519,1
"176","X",10012229,0.0493184476056006,1
"177","X",10012230,0.954519996889202,1
"178","X",10012302,0.0017827704702022,0.0688932634613583
"179","X",10012321,0.00147537743557306,0.0584873129646395
"180","X",10012378,0.29637672092164,1
"181","X",10012397,0.00321482946026466,0.114649727527519
"182","X",10012400,0.000493726035133449,0.0225807709584004
"183","X",10012432,1.50656766980783e-13,5.77408725126044e-11
"184","X",10012504,0.000413491048431742,0.0193445286129913
"185","X",10012537,0.000324178904602123,0.0156346942453906
"186","X",10012558,0.262872718815382,1
"187","X",10012567,0.21040116349669,1
"188","X",10012583,0.859270081896045,1
"189","X",10012707,0.0145898832442973,0.417313503569137
"190","X",10012723,0.277347301902066,1
"191","X",10012762,0.0268511227198358,0.697871545060389
"192","X",10012825,4.1623301882608e-05,0.00257512285587287
"193","X",10012950,0.0047926637727848,0.161618385430757
"194","X",10013030,0.1349644943483,1
"195","X",10013059,0.716956468459966,1
"196","X",10013080,0.000678087293039643,0.0297573114407699
"197","X",10013160,0.431896221888807,1
"198","X",10013162,0.00107885552141611,0.0445845440613784
"199","X",10013170,0.0245352204321305,0.646911678787841
"200","X",10013185,0.000581711137113224,0.0260336107681317
"201","X",10013230,0.773695529331117,1
"202","X",10013289,0.0350901803948788,0.87290356816118
"203","X",10013326,0.218716086546115,1
"204","X",10013383,0.00467713749691426,0.158252126930732
"205","X",10013467,0.834580217191808,1
"206","X",10013551,0.773632933052974,1
"207","X",10013554,0.572432273743696,1
"208","X",10013746,0.304789326469897,1
"209","X",10013758,1.1054098749865e-06,0.00010388260512299
"210","X",10013812,4.90946462612752e-18,4.01456616083365e-15
"211","X",10013938,0.506769944564535,1
"212","X",10014060,0.000599566507450494,0.026728801088305
"213","X",10014131,6.39117198226046e-05,0.00375749995092915
"214","X",10014132,0.000987679689651995,0.0413319611135083
"215","X",10014145,3.65888363653967e-05,0.00229737874567257
"216","X",10014149,0.121070035097922,1
"217","X",10014208,0.00480350641078232,0.161925913510349
"218","X",10014224,0.480529763192288,1
"219","X",10014227,0.450830277976004,1
"220","X",10014233,0.0141104522743793,0.405780171175043
"221","X",10014291,0.879315418733922,1
"222","X",10014487,0.108376680372859,1
"223","X",10014546,2.26403040624697e-23,4.38312352960285e-20
"224","X",10014832,0.000722538021514331,0.0314417153086895
"225","X",10014853,0.00114928827830326,0.047123887250182
"226","X",10014881,8.73317573354432e-05,0.00494886745837863
"227","X",10014923,0.000878497721068733,0.0373094540276362
"228","X",10014980,0.00119958424328045,0.0488846551555531
"229","X",10014994,0.00170283440673247,0.066221442138614
"230","X",10015061,0.00128856838253849,0.051981177072851
"231","X",10015075,0.000382145078748298,0.0180541772428503
"232","X",10015088,0.152026245388727,1
"233","X",10015111,0.000830908415486785,0.0355357670378064
"234","X",10015113,0.12290875404485,1
"235","X",10015233,0.103147433805439,1
"236","X",10015246,0.463194977386668,1
"237","X",10015447,2.6808866491656e-05,0.00174804847725363
"238","X",10015483,0.000139763294717773,0.00748846868764906
"239","X",10015495,0.305754575126197,1
"240","X",10015550,0.454680431643404,1
"241","X",10015717,0.84676046689175,1
"242","X",10015732,0.00115312556423683,0.0472567056493789
