"","chr","pos","pval","padj"
"248","2L",10009859,1.30933098313634e-15,2.05003268926394e-12
"2316","2L",10075529,6.77100619409009e-18,1.7592415739218e-14
"2463","2L",10080544,1.38273015100976e-17,3.36588449803891e-14
"2677","2L",10086801,8.43806434884508e-17,1.71809297533122e-13
"2679","2L",10086817,1.50216095829751e-21,8.15035240623556e-18
"3572","2L",10116712,2.70897553292451e-16,4.93603593228175e-13
"3677","2L",10120640,8.77590859586731e-16,1.42794405341901e-12
"3696","2L",10121358,1.42587871076559e-15,2.21181582206073e-12
"3737","2L",10122365,6.40165097473066e-17,1.34102148045046e-13
"3746","2L",10122692,2.58042001458206e-23,1.96492710092989e-19
"4209","2L",10136460,2.18760948955522e-16,4.0665074721787e-13
"4226","2L",10136678,6.08699038049244e-17,1.2820402554091e-13
"4563","2L",10152045,3.51919412602697e-28,6.93381600518842e-24
"4581","2L",10152614,1.26480335950014e-15,1.98669635718661e-12
"4584","2L",1015269,2.35714619745585e-16,4.35388974965224e-13
"4879","2L",10167962,1.27591065032283e-18,3.86278803306426e-15
"5216","2L",10178552,1.58451802809236e-17,3.806935468813e-14
"5234","2L",10179077,1.32515931004252e-17,3.24109117329178e-14
"5344","2L",10182019,1.31478047010067e-16,2.56404792902364e-13
"5353","2L",10182441,3.90418189453543e-33,2.09857883749579e-28
"5354","2L",10182515,2.07870074787402e-30,6.51578018846724e-26
"5358","2L",10182537,8.13200917234499e-20,3.14185721913436e-16
"5369","2L",10182868,3.22204958251134e-18,9.00631893422332e-15
"5370","2L",10182978,2.21494166670935e-18,6.403308536122e-15
"5900","2L",10197406,3.46549034141994e-20,1.44452101972016e-16
"6250","2L",10207910,4.1571451702874e-21,2.07920444646026e-17
"6255","2L",10208106,1.1777266475438e-15,1.86400374962755e-12
"6265","2L",10208360,2.63026842269808e-30,8.01370008853312e-26
"6643","2L",10220612,5.38904093754386e-19,1.75660071412963e-15
"6661","2L",10221175,8.4968217069058e-16,1.38568190653763e-12
"7411","2L",10249617,4.78752048100185e-27,7.55359385274948e-23
"7573","2L",1025441,6.32041614364956e-17,1.32547744198242e-13
"7986","2L",10268857,8.03949000432059e-24,6.76101314891962e-20
"8090","2L",10272880,7.67612649930453e-19,2.4273173011101e-15
"8399","2L",10282303,8.921373713667e-17,1.80622472218578e-13
"8402","2L",10282419,1.79468096438588e-18,5.27903430693277e-15
"8846","2L",10297614,3.87906905037006e-16,6.82441768009307e-13
"9696","2L",1032744,3.1392788693714e-20,1.32140376102882e-16
"10015","2L",10343031,3.55476430557234e-26,4.72524477791417e-22
"10081","2L",10345272,7.23000915613264e-31,2.4990015972166e-26
"10086","2L",10345385,3.41247610424271e-17,7.61266828496387e-14
"10087","2L",10345418,1.16215323500979e-16,2.29360928855453e-13
"10314","2L",10351521,4.66381658144495e-17,1.0088198931126e-13
"10388","2L",10352834,8.29293381351861e-17,1.69146608699683e-13
"10389","2L",10352843,3.59530643006914e-16,6.36639493468588e-13
"10393","2L",1035288,1.24946884441048e-25,1.49690561876142e-21
"10444","2L",10354423,8.71507790779777e-22,4.93385341999384e-18
"10445","2L",10354476,1.18920665448893e-24,1.18141756916499e-20
"10561","2L",10358455,2.08178933137081e-16,3.88846288236182e-13
"10562","2L",10358459,8.4638250911168e-17,1.72296593906586e-13
"10855","2L",10369089,5.88416360245258e-18,1.55221535987891e-14
"11614","2L",10398968,1.22126307924674e-28,2.63382870329363e-24
"11734","2L",10403660,4.82394101273366e-19,1.58556313768911e-15
"11735","2L",10403684,7.2956167176462e-19,2.31819838270765e-15
"11737","2L",1040370,2.73703504391749e-19,9.46152497041459e-16
"11748","2L",10404093,1.38101084725628e-16,2.67879648404828e-13
"12590","2L",10432929,8.52493996343505e-21,4.00582809133408e-17
