chrom,start,end,snps,Ancestor.Control,Ancestor.Low,Ancestor.High,Control.Low,Control.High,Low.High
2L,5001,10000,50,0.00411108,0.00385664,0.00313162,0.000221015,0.0102414,0.00705188
2L,10001,15000,24,0.000454078,0.0048849,0.0126386,0.0058128,0.009,0.00875077
2L,15001,20000,40,0.0185749,0.00997607,0.0260784,0.00953617,0.00644946,0.00570271
2L,20001,25000,30,0.00308401,0.00484456,-0.00248668,0.00640359,0.00581227,0.00494386
2L,25001,30000,27,-0.00195174,0.0158757,0.00827529,0.0138915,0.0105952,0.0161162
2L,30001,35000,28,0.0058295,0.0175832,0.00449652,0.0115701,0.00683354,0.00404901
2L,35001,40000,31,0.00200435,0.00854322,0.00687806,0.0096762,0.0156402,0.0155669
2L,40001,45000,52,0.00277881,0.0113262,0.00408295,0.00874599,0.00906762,0.0026763
2L,45001,50000,27,-0.000887218,8.6496e-05,0.000166124,-0.000111398,0.00961779,0.0086364
2L,50001,55000,15,0.0113703,-0.00224179,-0.00146874,0.00566534,0.000922414,0.000977831
2L,55001,60000,40,0.00332925,0.003267,0.00155137,-0.00251273,0.00594588,0.00413737
2L,60001,65000,31,0.00406303,0.00147323,0.00292311,0.00505202,0.00836492,0.00236957
2L,65001,70000,38,0.00878181,0.00999711,0.0341115,-0.00101895,0.0133819,0.0126892
2L,70001,75000,25,0.000249569,-0.0020822,0.000357003,-0.00274638,0.00502709,0.001305
2L,75001,80000,24,0.00149995,0.00338998,0.00589983,-0.00191042,0.00991938,0.0102732
2L,80001,85000,53,0.00593712,0.0105978,0.0114252,0.00480376,0.00872919,0.00734309
2L,85001,90000,50,0.00866669,0.0107205,0.00433996,0.00351251,0.00618716,0.00764499
2L,90001,95000,52,0.00448289,0.00782368,0.0170844,0.00314437,0.0128692,0.0205416
2L,95001,100000,31,0.00966767,0.00472005,-0.00161445,0.00172203,0.0148247,0.00629103
2L,100001,105000,27,0.0119358,-0.000950122,0.00114032,0.00996589,0.023309,0.00449788
2L,105001,110000,41,0.0122694,0.0082642,0.00683441,0.0103368,0.0196724,0.01232
2L,110001,115000,39,0.00724464,0.00734092,0.00451059,0.00242126,0.0217385,0.0104227
2L,115001,120000,38,0.0046537,0.007858,0.000614195,0.00818766,0.00925714,0.0105924
2L,120001,125000,44,0.00529167,0.00544718,0.00350688,0.00381226,0.0157834,0.00672459
2L,125001,130000,47,0.00321691,0.00847583,0.00256485,0.00625538,0.00995444,0.00437175
2L,130001,135000,46,0.00257122,0.0144315,0.00432567,0.00651474,0.00650673,0.0132918
2L,135001,140000,53,0.00389685,0.0147808,0.00515984,0.00323219,0.00594426,0.0105291
2L,140001,145000,41,0.0044425,0.0190914,0.00346811,0.0056075,0.00678553,0.0180518
2L,145001,150000,39,0.0215753,0.0168298,0.00620849,0.0043969,0.0205459,0.0153827
2L,150001,155000,45,0.00871548,0.0150557,0.00430621,0.00168222,0.0148345,0.0267406
2L,155001,160000,0,nan,nan,nan,nan,nan,nan
2L,160001,165000,0,nan,nan,nan,nan,nan,nan
2L,165001,170000,15,0.0044456,0.053185,0.0037699,0.0222198,0.00259389,0.0236869
2L,170001,175000,48,0.00747324,0.0209601,0.00694707,0.00957532,0.0144963,0.00874842
2L,175001,180000,36,0.00691445,0.0147781,0.00148521,0.0094697,0.0205713,0.0177438
2L,180001,185000,49,0.00780347,0.0110122,0.000487989,0.0012778,0.0132126,0.0142299
2L,185001,190000,18,0.00486437,0.00401927,-0.00137988,0.00360816,0.0172852,0.0109691
2L,190001,195000,30,0.00547922,0.000637935,0.000953432,0.00601169,0.0161331,0.00576529
2L,195001,200000,31,0.0135013,0.0132063,0.00343669,0.00343485,0.024927,0.022574
2L,200001,205000,34,0.00635593,0.0039426,0.00714285,0.0106053,0.0101758,0.0110993
2L,205001,210000,31,0.00301248,0.00232303,0.00101575,0.000168653,0.0139173,0.0072152
2L,210001,215000,29,0.00680824,0.0180089,0.00235618,0.0071832,0.00674072,0.00842158
2L,215001,220000,37,0.000644528,0.0115191,0.00741651,0.00739129,0.0101845,0.00470429
2L,220001,225000,60,0.00625056,0.00209221,0.00135314,0.0129763,0.0157414,0.000439229
2L,225001,230000,46,0.0114504,0.00615957,0.00087373,0.0211238,0.015373,0.00783637
2L,230001,235000,33,0.00903207,0.0104722,0.00183322,0.00476786,0.0103544,0.011576
2L,235001,240000,24,0.0122782,0.012453,0.0259671,-0.0010177,0.00240495,0.00474183
2L,240001,245000,31,0.0278488,0.0289756,0.0371374,0.000260682,0.00135493,0.00337994
2L,245001,250000,44,0.0108362,0.0159957,0.0252257,0.00148414,0.00877808,0.00952154
2L,250001,255000,54,0.00631082,0.012174,0.00781932,0.00879301,0.00970213,0.0143202
2L,255001,260000,81,0.0132385,0.00796436,0.0246806,0.00538929,0.0188647,0.0128446
2L,260001,265000,74,0.0240995,0.00856606,0.00527602,0.00968098,0.0252459,0.014628
2L,265001,270000,69,0.0214468,0.00719957,0.00874443,0.0176918,0.0372228,0.0137047
2L,270001,275000,46,0.0107926,0.00328637,0.00723215,0.00971948,0.00681022,0.00639748
2L,275001,280000,55,0.0126997,0.00557546,0.00271598,0.00637661,0.0221538,0.00990703
2L,280001,285000,58,0.0141016,0.00688683,0.0227089,0.0101446,0.0202969,0.012662
2L,285001,290000,59,0.00688142,0.00600826,0.0176694,0.0125179,0.0275541,0.016632
2L,290001,295000,35,0.00698391,0.00144375,0.000204379,0.000609829,0.0130292,0.00677462
2L,295001,300000,44,0.00228572,0.00581075,-0.000107186,0.00574165,0.0015121,0.000814617
2L,300001,305000,48,0.0163869,0.00998644,0.00759865,0.00295756,0.00278599,0.000102888
2L,305001,310000,77,0.00411193,0.00499012,0.00271733,0.00892253,0.00311925,0.0115229
2L,310001,315000,82,0.0164805,0.00793132,0.00790278,0.00436388,0.0344765,0.0228732
2L,315001,320000,80,0.0211188,0.00921088,0.0113752,0.00643513,0.00808647,0.00396383
2L,320001,325000,75,0.0148138,0.0212602,0.0158044,0.0143898,0.00597532,0.00586039
2L,325001,330000,78,0.018982,0.00803434,0.00843269,0.00962935,0.00288069,0.00291179
2L,330001,335000,105,0.0183568,0.0107135,0.0246673,0.00906452,0.0104296,0.0134018
2L,335001,340000,65,0.0124012,0.00430433,0.0308963,0.0148436,0.0104702,0.037648
2L,340001,345000,58,0.0245923,0.0375887,0.0248923,0.00132899,-0.000623909,0.00296066
2L,345001,350000,47,0.0115532,0.0229988,0.00536513,0.00135447,0.000478005,0.00404955
2L,350001,355000,0,nan,nan,nan,nan,nan,nan
2L,355001,360000,0,nan,nan,nan,nan,nan,nan
2L,360001,365000,0,nan,nan,nan,nan,nan,nan
2L,365001,370000,52,0.00879082,0.0174381,0.00671695,0.00981658,7.49257e-05,0.00706684
2L,370001,375000,59,0.0110801,0.0126284,0.0114305,0.0101258,0.0162215,0.0232358
2L,375001,380000,69,0.0268417,0.0108396,0.00794685,0.00903503,0.0200571,0.017253
2L,380001,385000,63,0.0169642,0.00953698,0.0375625,0.00926609,0.0472467,0.0699767
2L,385001,390000,88,0.0113283,0.0134568,0.0103491,0.012006,0.019497,0.0314488
2L,390001,395000,76,0.00966542,0.0117173,0.0193407,0.00981001,0.020638,0.0349004
2L,395001,400000,89,0.00634945,0.0121882,0.0171481,0.00454356,0.0214146,0.0324052
2L,400001,405000,79,0.0165266,0.00655473,0.00707642,0.0048071,0.0116182,0.0174099
2L,405001,410000,48,0.0135975,0.00696804,0.00413748,0.000490827,0.0157124,0.0114744
2L,410001,415000,58,0.0176849,0.00875604,0.00605864,0.0204241,0.0125888,0.0220331
2L,415001,420000,66,0.0149828,-0.000326858,0.0153165,0.012799,0.0207744,0.0189225
2L,420001,425000,76,0.0176584,0.00267236,0.0137056,0.00601755,0.00764135,0.00762655
2L,425001,430000,61,0.0102938,0.00783729,0.0128901,0.0118917,0.0124319,0.0297561
2L,430001,435000,59,0.0139587,0.00211334,0.0124539,0.0148091,0.0148288,0.0159382
2L,435001,440000,87,0.00874305,0.00635724,0.0165052,0.0114487,0.0191588,0.0266567
2L,440001,445000,65,0.00973373,0.00665276,0.00936764,0.0248148,0.0215286,0.00867812
2L,445001,450000,45,0.0109984,0.00272867,0.00866933,0.0180396,0.0333081,0.0160384
2L,450001,455000,41,0.00796486,0.0109023,0.0141218,0.0132646,0.0408713,0.0356569
2L,455001,460000,49,0.00765851,0.00465105,0.00754227,0.00938796,0.00958054,0.0106011
2L,460001,465000,52,0.0240588,0.00640654,0.00335502,0.0127838,0.0355426,0.0208851
2L,465001,470000,84,0.0150355,0.00283821,0.00499575,0.00992817,0.028683,0.0156871
2L,470001,475000,16,0.0147369,0.00221039,0.0119949,0.0102939,0.0309703,0.0173798
2L,475001,480000,0,nan,nan,nan,nan,nan,nan
2L,480001,485000,67,0.0223723,0.0163067,0.0290324,0.0368018,0.061304,0.0110153
2L,485001,490000,125,0.0116901,0.004987,0.00645034,0.00343811,0.0273263,0.018368
2L,490001,495000,149,0.00878229,-0.000337297,0.00723529,0.00646116,0.00795779,0.0142803
2L,495001,500000,136,0.0152184,0.00557289,0.0155935,0.0131326,0.00638377,0.0157764
2L,500001,505000,132,0.0096356,0.0101466,0.0113966,0.0109557,0.0226222,0.0205092
2L,505001,510000,140,0.0185298,0.00188849,0.00825439,0.0164163,0.0228219,0.0156128
2L,510001,515000,149,0.0082625,0.00285215,0.00910798,0.00504249,0.00869245,0.0120285
2L,515001,520000,124,0.0108948,0.00576913,0.00734409,0.0151165,0.0215289,0.0202889
2L,520001,525000,131,0.0218409,0.0151498,0.0132318,0.00915745,0.0408502,0.0263511
2L,525001,530000,115,0.0209222,0.00515134,0.00959113,0.00760639,0.0427203,0.0169045
2L,530001,535000,122,0.0299481,0.00959472,0.0257694,0.031868,0.0327966,0.0396172
2L,535001,540000,80,0.0211104,0.0065431,0.00505792,0.0121984,0.0193389,0.0108006
2L,540001,545000,94,0.0174852,0.0101236,0.00884575,0.00543929,0.0164387,0.00559251
2L,545001,550000,106,0.0122553,0.00543934,0.00481598,0.00438924,0.0187374,0.0136421
2L,550001,555000,121,0.026511,0.0100566,0.0170763,0.0113887,0.0586742,0.0405731
2L,555001,560000,131,0.0268849,0.0245814,0.00181082,0.00594184,0.0262892,0.0181251
2L,560001,565000,117,0.0109696,0.0109656,0.0199244,0.00461392,0.0137139,0.00487779
2L,565001,570000,81,0.00366796,0.0294825,0.000544463,0.0195165,0.00239098,0.0198313
2L,570001,575000,69,0.00390118,0.0275309,0.00674556,0.0137382,0.00686498,0.0320423
2L,575001,580000,137,0.00988903,0.0187858,0.0111793,0.0144181,0.0149997,0.0276358
2L,580001,585000,155,0.0104102,0.00428,0.0178095,0.00939226,0.0189145,0.0287371
2L,585001,590000,120,0.00835159,0.00742727,0.0101085,0.00565859,0.00939102,0.0240726
2L,590001,595000,93,0.00572254,0.0080478,0.023363,0.000734187,0.0313753,0.0436787
2L,595001,600000,106,0.00719096,0.00598869,0.0225748,0.00276625,0.0212406,0.0405224
2L,600001,605000,156,0.0139902,0.00559026,0.0136773,0.0122352,0.0126315,0.0186596
2L,605001,610000,94,0.0132392,0.0221873,0.0111333,0.0428437,0.030279,0.0180866
2L,610001,615000,135,0.0215771,0.00390261,0.010721,0.0262874,0.0296052,0.0131994
2L,615001,620000,133,0.00707034,0.00553075,0.00755005,0.00960283,0.0251768,0.0124922
2L,620001,625000,171,0.00785448,0.0050617,0.001959,0.00372628,0.0107165,0.0117508
2L,625001,630000,87,0.0109717,0.00192937,0.00616491,0.0097063,0.0169443,0.0176821
2L,630001,635000,107,0.00983116,0.00944333,0.0027906,0.0211829,0.0208112,0.0135419
2L,635001,640000,130,0.0076159,0.0095926,0.00775793,0.00641534,0.0290743,0.0322356
2L,640001,645000,90,0.0088962,0.0068315,0.00653866,0.00139613,0.0298461,0.0287873
2L,645001,650000,106,0.00994088,0.0175859,0.00346593,0.0196906,0.0212304,0.0408867
2L,650001,655000,77,0.0223577,0.00591445,0.00104553,0.0100658,0.0308167,0.0184638
2L,655001,660000,111,0.0139229,0.00916647,0.00313593,0.0200533,0.0251832,0.0217053
2L,660001,665000,134,0.0229691,0.0053101,0.008885,0.022421,0.0247593,0.0249596
2L,665001,670000,106,0.0140138,0.00252539,0.0134066,0.0109148,0.0262774,0.0297347
2L,670001,675000,114,0.0482911,0.00741609,0.00330419,0.0249113,0.0616599,0.0245832
2L,675001,680000,93,0.0247233,0.00872095,0.00883191,0.0105709,0.038782,0.0270666
2L,680001,685000,112,0.0220093,0.00445812,0.0128401,0.0152216,0.0327147,0.0314138
2L,685001,690000,47,0.0418227,0.0176901,0.0139174,0.014507,0.0771587,0.0574318
2L,690001,695000,0,nan,nan,nan,nan,nan,nan
2L,695001,700000,69,0.0186974,0.0065208,0.0126085,0.0135762,0.0341619,0.0117956
2L,700001,705000,120,0.0276507,0.00395865,0.00920888,0.0174594,0.0347585,0.0174245
2L,705001,710000,123,0.0229515,0.00549428,0.0102374,0.0161908,0.0416038,0.0207128
2L,710001,715000,153,0.0310183,0.00446856,0.0161975,0.0206451,0.0239469,0.0258531
2L,715001,720000,155,0.0149014,0.00769442,0.00828432,0.00779802,0.0207799,0.0203242
2L,720001,725000,112,0.0210887,0.00703462,0.00291215,0.0179123,0.0275211,0.0211373
2L,725001,730000,139,0.0344512,0.0101174,0.0188457,0.0227008,0.0808374,0.0399685
2L,730001,735000,104,0.0236958,0.00876085,0.00288801,0.015752,0.0393974,0.0155174
2L,735001,740000,138,0.0494169,0.0114123,0.0120517,0.023311,0.0968348,0.0400566
2L,740001,745000,152,0.0321272,0.0103897,0.00552682,0.0266583,0.0311299,0.0243451
2L,745001,750000,150,0.0302932,0.0162942,0.00473183,0.0138173,0.052601,0.035085
2L,750001,755000,134,0.0329738,0.0105275,0.00693697,0.018661,0.0496333,0.015207
2L,755001,760000,172,0.0331102,0.00944153,0.00587644,0.0224616,0.0419759,0.0213458
2L,760001,765000,146,0.0397594,0.0202045,0.00885111,0.0240379,0.0582279,0.0289499
2L,765001,770000,139,0.0534027,0.0133843,0.0111102,0.0292532,0.0926943,0.041597
2L,770001,775000,100,0.0466813,0.0145697,0.00522635,0.0243033,0.0609319,0.0254615
2L,775001,780000,187,0.0392207,0.0117804,0.0128267,0.0309006,0.031909,0.020354
2L,780001,785000,120,0.0332677,0.0112551,0.0122142,0.0290654,0.0287721,0.0203821
2L,785001,790000,109,0.0342191,0.0110273,0.0160252,0.0177296,0.0507674,0.0269722
2L,790001,795000,135,0.0396933,0.0174508,0.00749268,0.0221095,0.0420167,0.0207975
