Amellifera_OGSv3.2ID,FBpp,FBgnID
GB55939,FBpp0070102,FBgn0040373
GB55112,FBpp0070113,FBgn0025635
GB48677,FBpp0070134,FBgn0086368
GB46520,FBpp0070298,FBgn0014411
GB42538,FBpp0070299,FBgn0023514
GB54939,FBpp0070303,FBgn0023510
GB41196,FBpp0070347,FBgn0023518
GB45818,FBpp0070373,FBgn0003116
GB51723,FBpp0070409,FBgn0023542
GB53503,FBpp0070501,FBgn0262656
GB46360,FBpp0070634,FBgn0000635
GB44156,FBpp0070637,FBgn0026079
GB56016,FBpp0070650,FBgn0029718
GB51119,FBpp0070795,FBgn0029818
GB51601,FBpp0070862,FBgn0029857
GB43951,FBpp0070874,FBgn0029873
GB40217,FBpp0070913,FBgn0025815
GB51884,FBpp0070953,FBgn0029882
GB47436,FBpp0071095,FBgn0029969
GB40770,FBpp0071206,FBgn0030073
GB48596,FBpp0071222,FBgn0052707
GB47093,FBpp0071223,FBgn0052708
GB49883,FBpp0071234,FBgn0030091
GB47186,FBpp0071241,FBgn0030100
GB42525,FBpp0071277,FBgn0030096
GB42999,FBpp0071283,FBgn0030092
GB47079,FBpp0071296,FBgn0001186
GB55583,FBpp0071337,FBgn0261617
GB51341,FBpp0071404,FBgn0028331
GB54639,FBpp0071422,FBgn0052677
GB44455,FBpp0071599,FBgn0034647
GB51031,FBpp0071605,FBgn0042180
GB49476,FBpp0071659,FBgn0034660
GB49794,FBpp0071677,FBgn0000008
GB44146,FBpp0071698,FBgn0034709
GB44021,FBpp0071743,FBgn0034733
GB55242,FBpp0071778,FBgn0050269
GB41028,FBpp0071794,FBgn0011211
GB49010,FBpp0071810,FBgn0034788
GB42762,FBpp0071820,FBgn0001263
GB52152,FBpp0072006,FBgn0034894
GB50972,FBpp0072033,FBgn0034908
GB43719,FBpp0072057,FBgn0029105
GB48268,FBpp0072061,FBgn0003008
GB43920,FBpp0072105,FBgn0034958
GB46534,FBpp0072116,FBgn0034940
GB45526,FBpp0072144,FBgn0034915
GB43034,FBpp0072182,FBgn0050419
GB51689,FBpp0072275,FBgn0000037
GB45704,FBpp0072401,FBgn0053229
GB45663,FBpp0072423,FBgn0035113
GB53650,FBpp0072428,FBgn0025592
GB46902,FBpp0072461,FBgn0035146
GB52109,FBpp0072464,FBgn0001316
GB45812,FBpp0072540,FBgn0024277
GB51725,FBpp0072557,FBgn0262937
GB42738,FBpp0072590,FBgn0011204
GB52345,FBpp0072660,FBgn0011573
GB47097,FBpp0072691,FBgn0035251
GB51553,FBpp0072692,FBgn0035249
GB44804,FBpp0072707,FBgn0035235
GB40411,FBpp0072737,FBgn0035293
GB44743,FBpp0072743,FBgn0002183
GB47105,FBpp0072768,FBgn0035336
GB42274,FBpp0072788,FBgn0035318
GB51134,FBpp0072830,FBgn0010909
GB43921,FBpp0072874,FBgn0052486
GB41486,FBpp0072907,FBgn0035421
GB48314,FBpp0072969,FBgn0047135
GB48474,FBpp0072985,FBgn0035398
GB53683,FBpp0073007,FBgn0035462
GB47375,FBpp0073076,FBgn0003710
GB49027,FBpp0073082,FBgn0035515
GB51551,FBpp0073126,FBgn0035499
GB50010,FBpp0073218,FBgn0035575
GB42596,FBpp0073256,FBgn0021742
